sku,category,description,status,availability,foto_cargada
"81420997","Bazar","Pintura Sinteplast Látex Profesional Interior/Exterior · 20 L · Terminación Mate · Blanco","DISPONIBLE","","NO"
"81611027","Bazar","Pintura Sinteplast Acrilplast Interior · 20 L · Látex Acrílico · Terminación Mate · Blanco","DISPONIBLE","","NO"
"81711107","Bazar","Pintura Sinteplast Obraplast Interior/Exterior · 20 L · Látex Profesional · Terminación Extra Mate · Blanco","DISPONIBLE","","NO"
"82010997","Bazar","Pintura Sinteplast Acrilplast Interior/Exterior · 20 L · Látex Acrílico · Terminación Mate · Blanco","DISPONIBLE","","NO"
"82121077","Bazar","Pintura Sinteplast Látex Profesional Interior · 20 L · Terminación Mate · Blanco","DISPONIBLE","","NO"
"83121057","Bazar","Enduido Plástico Sinteplast Interior · 25 kg · Listo para Usar · Blanco","DISPONIBLE","","NO"
"83221037","Bazar","Masilla Sinteplast Obraplast para Placas de Yeso · 32 kg · Lista para Usar","DISPONIBLE","","NO"
"84010007","Bazar","Fijador Sellador Sinteplast Sellaplast · 20 L · Interior/Exterior · Incoloro","DISPONIBLE","","NO"
"84111017","Bazar","Impermeabilizante Sinteplast Recuplast Tradicional · 20 kg · Membrana en Pasta · Blanco","DISPONIBLE","","NO"
"84210997","Bazar","Impermeabilizante Sinteplast Recuplast Frentes · 20 L · Membrana Líquida · Base Pastel","DISPONIBLE","","NO"
"84311007","Bazar","Impermeabilizante Sinteplast Recuplast Fibrado · 20 kg · Fibras de Poliéster · Blanco","DISPONIBLE","","NO"
"84520997","Bazar","Pintura Sinteplast Recuplast Interior Mate · 20 L · Látex Acrílico · Lavable · Blanco","DISPONIBLE","","NO"
"84530997","Bazar","Pintura Sinteplast Recuplast Interior Satinado · 20 L · Látex Acrílico · Lavable · Blanco","DISPONIBLE","","NO"
"84711037","Bazar","Impermeabilizante Sinteplast Recuplast Techos · 20 kg · Membrana Líquida · Blanco","DISPONIBLE","","NO"
"86021007","Bazar","Pintura Sinteplast Cielorraso · 20 L · Anticondensación · Antihongos · Blanco","DISPONIBLE","","NO"
"86111007","Bazar","Pintura Sinteplast Recuplast Cielos Rasos · 20 L · Anticondensación · Antihongos · Blanco","DISPONIBLE","","NO"
"89351005","Bazar","Revestimiento Sinteplast Agreste Textura Media · 25 kg · Interior/Exterior · Blanco","DISPONIBLE","","NO"
"89381055","Bazar","Revestimiento Sinteplast Pietra Piedra París · 25 kg · Efecto Piedra Natural · Interior/Exterior","DISPONIBLE","","NO"
"A16-4G-128GB","Celulares","A16 4G · 4 GB · 128 GB","ACTIVO","","SI"
"A57-8GB-256GB","Celulares","A57 5G · 8 GB · 256 GB","ACTIVO","","SI"
"CARGARAPIDA","Celulares","Cargador Genérico USB-C · 20 W","DISPONIBLE","","NO"
"FUNDA-IPHONE","Celulares","Funda Transparente para iPhone  · 16 · 17 pro y pro max","DISPONIBLE","","NO"
"IPHONE-15-128GB","Celulares","iPhone 15 · 128 GB","ACTIVO","","SI"
"IPHONE-17-256GB","Celulares","iPhone 17 · 256 GB","ACTIVO","","SI"
"IPHONE-17-PRO-1TB","Celulares","iPhone 17 Pro · 1 TB","DISPONIBLE","","SI"
"IPHONE-17-PRO-256GB","Celulares","iPhone 17 Pro · 256 GB","ACTIVO","","SI"
"IPHONE-17-PRO-512GB","Celulares","iPhone 17 Pro · 512 GB","ACTIVO","","SI"
"IPHONE-17-PRO-MAX-1TB","Celulares","iPhone 17 Pro Max · 1 TB","ACTIVO","","SI"
"IPHONE-17-PRO-MAX-256GB","Celulares","iPhone 17 Pro Max · 256 GB","ACTIVO","","SI"
"IPHONE-17-PRO-MAX-512GB","Celulares","iPhone 17 Pro Max · 512 GB","ACTIVO","","SI"
"MWVV3AM-A","Celulares","Adaptador Apple USB-C · 20 W · Blanco","DISPONIBLE","","SI"
"S25-ULTRA-12GB-512GB","Celulares","S25 Ultra 5G · 12 GB · 512 GB","ACTIVO","","SI"
"S26-256GB","Celulares","S26 5G · 12 GB · 256 GB","ACTIVO","","SI"
"S26-ULTRA-12GB-256GB","Celulares","S26 Ultra 5G · 12 GB · 256 GB","ACTIVO","","SI"
"S26-ULTRA-12GB-512GB","Celulares","S26 Ultra 5G · 12 GB · 512 GB","ACTIVO","","SI"
"S3-W120A1DA","Climatizacion","Aire Acondicionado Split LG S3-W120A1DA · 3517 W · 3025 Frigorías · DUAL Inverter AI Air · ThinQ™ WiFi · Soft Air · Frío/Calor · Blanco","ACTIVO","","NO"
"S3-W181L1DA","Climatizacion","Aire Acondicionado Split LG S3-W181L1DA · 5275 W · 4536 Frigorías · DUAL Inverter AI Air · ThinQ™ WiFi · Soft Air · Frío/Calor · Blanco","ACTIVO","","NO"
"S3-W24121DA","Climatizacion","Aire Acondicionado Split LG S3-W24121DA · 6448 W · 5544 Frigorías · DUAL Inverter AI Air · ThinQ™ WiFi · Soft Air · Frío/Calor · Blanco","ACTIVO","","NO"
"S4-W36R43FA","Climatizacion","Aire Acondicionado Split LG S4-W36R43FA · 9670 W · 8315 Frigorías · Dual Cool · Dual Inverter · ThinQ™ WiFi · Frío/Calor · Blanco","ACTIVO","","NO"
"CCE116-1X","Cocina","Campana Extractora CANDY Idea CCE116/1X · 60 cm · 3 Velocidades · Acero Inoxidable","DISPONIBLE","","NO"
"CH64CCB","Cocina","Anafe Eléctrico CANDY Idea CH64CCB · 4 Zonas · 60 cm · Vitrocerámico · Touch · Negro","DISPONIBLE","","NO"
"CMB955X","Cocina","Campana Extractora CANDY CMB955X · 90 cm · 3 Velocidades · Acero Inoxidable","DISPONIBLE","","NO"
"CVMA60N","Cocina","Campana Extractora CANDY Décor CVMA60N · 60 cm · 4 Velocidades · Booster · Cristal Negro","DISPONIBLE","","NO"
"ELIOE91MF-12","COCINA","Horno Eléctrico Empotrable CANDY ELIOE91MF-12 · 114 L · 90 cm · 11 Funciones · Cierre Suave · Silver","ACTIVO","","NO"
"EVC915SK-12","Cocina","Anafe Eléctrico CANDY EVC915SK-12 · 5 Zonas · 90 cm · Vitrocerámico · Negro","ACTIVO","","NO"
"FCP605-CHG6","Cocina","Combo Horno + Anafe CANDY FCP605-CHG6 · Horno Eléctrico FIDCX605L · 65 L · Silver + Anafe CHG6BRWPX · 60 cm · 4 Hornallas · A Gas","ACTIVO","","NO"
